time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
24.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9140946460060563e-13,-7.99118657197581e-25,-8.342006507881059e-12,1.9117406937189612e-13,-2.529882799097247e-25,-2.3065993559612252e-12,2.929898944447726e-07,5.643336803445727e-07,-1.8561538189396327e-12,,,,,,
24.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.921910988048597e-13,-8.056545042169092e-25,-8.376069674993242e-12,1.9195570277399862e-13,-2.547951821203335e-25,-2.3145929617385264e-12,2.9298989522640605e-07,5.643336803445727e-07,-1.864147424716934e-12,,,,,,
24.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9296489832812434e-13,-8.121510658965993e-25,-8.409792240939039e-12,1.9273731898538535e-13,-2.566082084459581e-25,-2.3225865675158275e-12,2.929898960080223e-07,5.643336803445727e-07,-1.872141030494235e-12,,,,,,
24.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9375432805447667e-13,-8.188057454257062e-25,-8.444196061695068e-12,1.935189347351111e-13,-2.5842733700237307e-25,-2.3301360840832785e-12,2.92989896789638e-07,5.643336803445727e-07,-1.879690547061686e-12,,,,,,
24.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9453596066922508e-13,-8.254214566779552e-25,-8.478259244691849e-12,1.9430056685152297e-13,-2.6025267998712933e-25,-2.3381296898605797e-12,2.929898975712701e-07,5.643336803445727e-07,-1.887684152838987e-12,,,,,,
25.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.953175578209856e-13,-8.320634915319056e-25,-8.512322450015091e-12,1.9508216528977302e-13,-2.620841417592915e-25,-2.346123295637881e-12,2.9298989835286856e-07,5.643336803445727e-07,-1.8956777586162882e-12,,,,,,
25.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.960991340672929e-13,-8.387319717509382e-25,-8.546385639967806e-12,1.9586374268751523e-13,-2.639216451240069e-25,-2.353672812205332e-12,2.92989899134446e-07,5.643336803445727e-07,-1.9032272751837393e-12,,,,,,
25.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9688076122383111e-13,-8.454275102477898e-25,-8.58044882637531e-12,1.9664536839686721e-13,-2.657653950546327e-25,-2.361666417982633e-12,2.929898999160717e-07,5.643336803445727e-07,-1.9112208809610404e-12,,,,,,
25.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9765451236525468e-13,-8.520818073028282e-25,-8.614171372819471e-12,1.974269383179378e-13,-2.6761517711219e-25,-2.369660023759934e-12,2.929899006976416e-07,5.643336803445727e-07,-1.9192144867383416e-12,,,,,,
25.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9844391481521429e-13,-8.588975957362511e-25,-8.648575190221359e-12,1.9820852392197374e-13,-2.6947115435852634e-25,-2.3776536295372352e-12,2.929899014792272e-07,5.643336803445727e-07,-1.9272080925156427e-12,,,,,,
